track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
A Beautiful Breath - Strings Version,https://open.spotify.com/track/7IIUERPVEl0S4v3iU8vpIs,A Beautiful Breath (Strings Version),https://open.spotify.com/album/39L61jnHerFaIwk50gcjUd,Melody Lake,https://open.spotify.com/artist/1we36odvLMnv4ESemMwWs7,2024-02-09,60945,2022-10-03,Beautiful instrumental music to keep you in the flow as you code or study. An ideal playlist for programming during stressful times --- | program | programmer | software | software engineer | computer science | concentrate | concentration | focusing |,CODING FOCUS
A Silent Voice,https://open.spotify.com/track/0qfbrAdnxCkC2dhc98ofCA,Dream Space,https://open.spotify.com/album/5Syb7X9pjYZHqNPxbXO9yM,Eternal Spring,https://open.spotify.com/artist/6yDo1kCCuaAyfUy37qTiih,2022-02-03,67666,2022-10-03,Beautiful instrumental music to keep you in the flow as you code or study. An ideal playlist for programming during stressful times --- | program | programmer | software | software engineer | computer science | concentrate | concentration | focusing |,CODING FOCUS
A Space To Be,https://open.spotify.com/track/6EH00V17MaMyhNMeanhOgJ,Shifting Sands,https://open.spotify.com/album/0tOrP1XUnI0UU7qZjOhIjD,Harmony Night,https://open.spotify.com/artist/6K8fbHqOwXN8ceY71ipjdY,2024-02-09,64225,2022-10-03,Beautiful instrumental music to keep you in the flow as you code or study. An ideal playlist for programming during stressful times --- | program | programmer | software | software engineer | computer science | concentrate | concentration | focusing |,CODING FOCUS
A Time to Forgive,https://open.spotify.com/track/1joDl5ho8TlWqsfFPNC0Sw,Warmth,https://open.spotify.com/album/7kifavgLRswEIoUyTH8anB,Slow Rising Hope,https://open.spotify.com/artist/6PG2xcOoZhLtbLAINQdys6,2022-01-20,105566,2022-10-03,Beautiful instrumental music to keep you in the flow as you code or study. An ideal playlist for programming during stressful times --- | program | programmer | software | software engineer | computer science | concentrate | concentration | focusing |,CODING FOCUS
Above,https://open.spotify.com/track/1eXIACWbHAPDMI6gLAojk0,Dreaming,https://open.spotify.com/album/3nPCZ7PFvfpRyuSFUq026c,Ivory Light,https://open.spotify.com/artist/3hSDOhq2hmStY6xAOHxvmi,2022-01-12,90967,2022-10-03,Beautiful instrumental music to keep you in the flow as you code or study. An ideal playlist for programming during stressful times --- | program | programmer | software | software engineer | computer science | concentrate | concentration | focusing |,CODING FOCUS
Above the Clouds,https://open.spotify.com/track/1Trtqrvf4wB8qQZbp9Ur64,Dreaming Spaces,https://open.spotify.com/album/77X0MycjOyo8OUpA7xrlfP,Limelight Glow,https://open.spotify.com/artist/24tFl1Ahli94KF2N76dCEy,2022-01-12,153626,2022-10-03,Beautiful instrumental music to keep you in the flow as you code or study. An ideal playlist for programming during stressful times --- | program | programmer | software | software engineer | computer science | concentrate | concentration | focusing |,CODING FOCUS
Above The Skyline,https://open.spotify.com/track/45Dc80XMvyomJiIXkqFthC,Hillside Songs,https://open.spotify.com/album/32e44ep6VLvMxxIEawIlGc,Ivory Light,https://open.spotify.com/artist/3hSDOhq2hmStY6xAOHxvmi,2022-02-11,63374,2022-10-03,Beautiful instrumental music to keep you in the flow as you code or study. An ideal playlist for programming during stressful times --- | program | programmer | software | software engineer | computer science | concentrate | concentration | focusing |,CODING FOCUS
Across The Room,https://open.spotify.com/track/67aZo6iC8l0qsaX8rc6ztT,Softly,https://open.spotify.com/album/22TBoyrFvpJ9idJPCr1jD1,Wandering River,https://open.spotify.com/artist/68MLCS299SINsPPPTnMZRK,2022-01-12,68085,2022-10-03,Beautiful instrumental music to keep you in the flow as you code or study. An ideal playlist for programming during stressful times --- | program | programmer | software | software engineer | computer science | concentrate | concentration | focusing |,CODING FOCUS
Adieu - Cello Version,https://open.spotify.com/track/0OrBrhiYRShpamzEz3Mjfh,Adieu Again,https://open.spotify.com/album/0x1E4Hqnymr672ghgx112V,Cello Soul,https://open.spotify.com/artist/1g2vVGycdY9Xowsh2mYCqe,2024-02-09,64767,2022-10-03,Beautiful instrumental music to keep you in the flow as you code or study. An ideal playlist for programming during stressful times --- | program | programmer | software | software engineer | computer science | concentrate | concentration | focusing |,CODING FOCUS
Adieu - Piano Version,https://open.spotify.com/track/2z05k4RoYrkBQaWcOGuhJ4,Adieu,https://open.spotify.com/album/0r4W1ukvZc012C2MJl1ZPo,Wandering River,https://open.spotify.com/artist/68MLCS299SINsPPPTnMZRK,2022-08-25,63786,2022-10-03,Beautiful instrumental music to keep you in the flow as you code or study. An ideal playlist for programming during stressful times --- | program | programmer | software | software engineer | computer science | concentrate | concentration | focusing |,CODING FOCUS
Adieu Arr. For Cello And Grand Piano,https://open.spotify.com/track/71pqTwgdTprJNek6tvHxHq,Adieu Arr. For Cello And Grand Piano,https://open.spotify.com/album/039z0mhtEgsDpYfnHrjIwn,Dream Presence,https://open.spotify.com/artist/77u8JcLgTOc0ebVwQZ3A26,2024-02-09,60882,2022-10-03,Beautiful instrumental music to keep you in the flow as you code or study. An ideal playlist for programming during stressful times --- | program | programmer | software | software engineer | computer science | concentrate | concentration | focusing |,CODING FOCUS
Adrift,https://open.spotify.com/track/0GVr66eRIlVeRdgadMaDTv,Adrift,https://open.spotify.com/album/0v5rl0bnxJKxAIANmU6qcc,Ian Wong,https://open.spotify.com/artist/7oYdrlz2ZllyvCmCZ4c0MK,2022-01-12,115031,2022-10-03,Beautiful instrumental music to keep you in the flow as you code or study. An ideal playlist for programming during stressful times --- | program | programmer | software | software engineer | computer science | concentrate | concentration | focusing |,CODING FOCUS
Adrift Again Arr. For Cello And Harp,https://open.spotify.com/track/41a0CU0Mx2ueFmuyEc2EFb,Adrift Again Arr. For Cello And Harp,https://open.spotify.com/album/76NDq2bsTsasCeWl7B0F9j,Harp Flow,https://open.spotify.com/artist/1dTMXyW6jjoTvvf7ktsuGH,2023-04-19,61088,2022-10-03,Beautiful instrumental music to keep you in the flow as you code or study. An ideal playlist for programming during stressful times --- | program | programmer | software | software engineer | computer science | concentrate | concentration | focusing |,CODING FOCUS
Afar,https://open.spotify.com/track/7BxunpN1ecBF57nWkDIjir,Afar,https://open.spotify.com/album/5mZ50YAXHwaroFOYYFHf0y,Cello Soul,https://open.spotify.com/artist/1g2vVGycdY9Xowsh2mYCqe,2022-04-01,62391,2022-10-03,Beautiful instrumental music to keep you in the flow as you code or study. An ideal playlist for programming during stressful times --- | program | programmer | software | software engineer | computer science | concentrate | concentration | focusing |,CODING FOCUS
Afar Reimagined,https://open.spotify.com/track/4Wfrn8OgQgERp34FOckO55,Afar Reimagined,https://open.spotify.com/album/13PKWDgB35aWhCYa0VEJpJ,July Sunrise,https://open.spotify.com/artist/2i0yWCXBGhBWuT0qnM3tmE,2022-04-07,63308,2022-10-03,Beautiful instrumental music to keep you in the flow as you code or study. An ideal playlist for programming during stressful times --- | program | programmer | software | software engineer | computer science | concentrate | concentration | focusing |,CODING FOCUS
Affection,https://open.spotify.com/track/357FaYLDjXjlHfnER4o692,Affection,https://open.spotify.com/album/2w4X2CyFTSNl1SWkByNUdd,Melody Lake,https://open.spotify.com/artist/1we36odvLMnv4ESemMwWs7,2022-01-12,95763,2022-10-03,Beautiful instrumental music to keep you in the flow as you code or study. An ideal playlist for programming during stressful times --- | program | programmer | software | software engineer | computer science | concentrate | concentration | focusing |,CODING FOCUS
Affectionate - Cello Version,https://open.spotify.com/track/6mhQwyAl1j3hdgb8BkgGjg,Affectionate (Cello Version),https://open.spotify.com/album/74bcS4HxoBYjEZs4FfjDEF,Moonlight Echoes,https://open.spotify.com/artist/5eXoCTlZLghzUNQB3xTAuC,2024-02-09,61313,2022-10-03,Beautiful instrumental music to keep you in the flow as you code or study. An ideal playlist for programming during stressful times --- | program | programmer | software | software engineer | computer science | concentrate | concentration | focusing |,CODING FOCUS
Affectionate - Strings Version,https://open.spotify.com/track/0XiIT14siFI6utj8EhBKia,Affectionate (Strings Version),https://open.spotify.com/album/5IDdfiIpv8zFGz5ogG7nsz,Cello Soul,https://open.spotify.com/artist/1g2vVGycdY9Xowsh2mYCqe,2024-02-09,61336,2022-10-03,Beautiful instrumental music to keep you in the flow as you code or study. An ideal playlist for programming during stressful times --- | program | programmer | software | software engineer | computer science | concentrate | concentration | focusing |,CODING FOCUS
Affirmation,https://open.spotify.com/track/5ZXenBNXRLbMcZ8WOGo906,Journey,https://open.spotify.com/album/2qdg4nzViXZkGjJNP5nvKe,Moonlight Echoes,https://open.spotify.com/artist/5eXoCTlZLghzUNQB3xTAuC,2022-01-12,172427,2022-10-03,Beautiful instrumental music to keep you in the flow as you code or study. An ideal playlist for programming during stressful times --- | program | programmer | software | software engineer | computer science | concentrate | concentration | focusing |,CODING FOCUS
Afraid No More,https://open.spotify.com/track/0bDuyAYjD9aXq4DoY2qQ0d,Dreaming in the Rain,https://open.spotify.com/album/3rGGRbwcJXPeVxaNEiBHyW,Limelight Glow,https://open.spotify.com/artist/24tFl1Ahli94KF2N76dCEy,2024-01-29,91333,2022-10-03,Beautiful instrumental music to keep you in the flow as you code or study. An ideal playlist for programming during stressful times --- | program | programmer | software | software engineer | computer science | concentrate | concentration | focusing |,CODING FOCUS
After,https://open.spotify.com/track/1tvlcuGstl9uQEtim4ImT7,Before And After,https://open.spotify.com/album/7AqoKV9PpqS9oPqsGE290P,July Sunrise,https://open.spotify.com/artist/2i0yWCXBGhBWuT0qnM3tmE,2024-10-04,60424,2022-10-03,Beautiful instrumental music to keep you in the flow as you code or study. An ideal playlist for programming during stressful times --- | program | programmer | software | software engineer | computer science | concentrate | concentration | focusing |,CODING FOCUS
After Dawn - Cello Version,https://open.spotify.com/track/61GK3r3FpEEHZCHh01Jjdb,After Dawn,https://open.spotify.com/album/26ZNd2szCLRPKBrnokVp61,Ivory Light,https://open.spotify.com/artist/3hSDOhq2hmStY6xAOHxvmi,2024-02-09,67500,2022-10-03,Beautiful instrumental music to keep you in the flow as you code or study. An ideal playlist for programming during stressful times --- | program | programmer | software | software engineer | computer science | concentrate | concentration | focusing |,CODING FOCUS
After The Rain,https://open.spotify.com/track/2K4VeowtqgkBSATH7zSREl,Sublime,https://open.spotify.com/album/3Z6v9gv7xJmJlouBNIXMGm,Willow Valley,https://open.spotify.com/artist/28WCFFMetDFIT9o2Xluc31,2022-01-12,72714,2022-10-03,Beautiful instrumental music to keep you in the flow as you code or study. An ideal playlist for programming during stressful times --- | program | programmer | software | software engineer | computer science | concentrate | concentration | focusing |,CODING FOCUS
After The Rain Fell,https://open.spotify.com/track/389aQnH88XwSADOwrzsB8B,In Between,https://open.spotify.com/album/0RQgTq65UjXocAtzzqVScx,Slow Rising Hope,https://open.spotify.com/artist/6PG2xcOoZhLtbLAINQdys6,2022-04-18,63308,2022-10-03,Beautiful instrumental music to keep you in the flow as you code or study. An ideal playlist for programming during stressful times --- | program | programmer | software | software engineer | computer science | concentrate | concentration | focusing |,CODING FOCUS
After The Rain Fell - Strings Version,https://open.spotify.com/track/41vZt4egDZJSQ9N3UU8eqc,Sublime Mornings Revisited (Strings Version),https://open.spotify.com/album/3VDtNC64hbeRvGSUEXARd8,July Sunrise,https://open.spotify.com/artist/2i0yWCXBGhBWuT0qnM3tmE,2024-02-09,67018,2022-10-03,Beautiful instrumental music to keep you in the flow as you code or study. An ideal playlist for programming during stressful times --- | program | programmer | software | software engineer | computer science | concentrate | concentration | focusing |,CODING FOCUS
Afterglow,https://open.spotify.com/track/2U2h2xxuq4yW2muU57miWC,Afterglow,https://open.spotify.com/album/3wI9lnREm7istVGmbX00TC,Ian Wong,https://open.spotify.com/artist/7oYdrlz2ZllyvCmCZ4c0MK,2022-01-12,105686,2022-10-03,Beautiful instrumental music to keep you in the flow as you code or study. An ideal playlist for programming during stressful times --- | program | programmer | software | software engineer | computer science | concentrate | concentration | focusing |,CODING FOCUS
Afternoon Cello Improvisation,https://open.spotify.com/track/2fcjMbJhOhnq2acUprIn2n,Valley Of Love,https://open.spotify.com/album/2e6cK3ZQOMStRcCe3GsMkL,Wandering River,https://open.spotify.com/artist/68MLCS299SINsPPPTnMZRK,2024-02-09,62946,2022-10-03,Beautiful instrumental music to keep you in the flow as you code or study. An ideal playlist for programming during stressful times --- | program | programmer | software | software engineer | computer science | concentrate | concentration | focusing |,CODING FOCUS
Afternoon Glory,https://open.spotify.com/track/601pR2fAkD9Oil1Uoe5H5j,Deep Inspiration,https://open.spotify.com/album/7LzslyJIxxDQ0Nqg0rGOaG,Eternal Spring,https://open.spotify.com/artist/6yDo1kCCuaAyfUy37qTiih,2022-05-11,62380,2022-10-03,Beautiful instrumental music to keep you in the flow as you code or study. An ideal playlist for programming during stressful times --- | program | programmer | software | software engineer | computer science | concentrate | concentration | focusing |,CODING FOCUS
Afternoon Glow,https://open.spotify.com/track/3ladifvlLT6GG5pWOYwo3x,Afternoon Glow,https://open.spotify.com/album/60lNOgDDlL85ztliH94QlI,Wandering River,https://open.spotify.com/artist/68MLCS299SINsPPPTnMZRK,2024-04-03,60000,2022-10-03,Beautiful instrumental music to keep you in the flow as you code or study. An ideal playlist for programming during stressful times --- | program | programmer | software | software engineer | computer science | concentrate | concentration | focusing |,CODING FOCUS
Afternoon Glow - Ambient Cello Version,https://open.spotify.com/track/6UKxFw75BbK2lYOiXphunp,Afternoon Glow (Ambient Cello Version),https://open.spotify.com/album/5jfSN4XYMyaX8fEqs7XRD2,Harmony Night,https://open.spotify.com/artist/6K8fbHqOwXN8ceY71ipjdY,2024-04-04,60000,2022-10-03,Beautiful instrumental music to keep you in the flow as you code or study. An ideal playlist for programming during stressful times --- | program | programmer | software | software engineer | computer science | concentrate | concentration | focusing |,CODING FOCUS
Afternoon Light,https://open.spotify.com/track/5TWckmWE1ddnAVEgayyxfM,Afternoon Light,https://open.spotify.com/album/1Zl48ySly0L8116rmKgn4J,Slow Rising Hope,https://open.spotify.com/artist/6PG2xcOoZhLtbLAINQdys6,2024-08-09,60256,2022-10-03,Beautiful instrumental music to keep you in the flow as you code or study. An ideal playlist for programming during stressful times --- | program | programmer | software | software engineer | computer science | concentrate | concentration | focusing |,CODING FOCUS
Afternoon Mist Arr. For Cello And Piano,https://open.spotify.com/track/2p5Q9rgq3EYlqN7wlM60qC,Two Cello Preludes,https://open.spotify.com/album/3H8S5mlfUZPgVzUoRbNhYw,Cello Soul,https://open.spotify.com/artist/1g2vVGycdY9Xowsh2mYCqe,2023-04-19,60821,2022-10-03,Beautiful instrumental music to keep you in the flow as you code or study. An ideal playlist for programming during stressful times --- | program | programmer | software | software engineer | computer science | concentrate | concentration | focusing |,CODING FOCUS
Afternoon Reflections - Cello Version,https://open.spotify.com/track/3nqTUSmf1YXPy5KQ9QTpLR,Echoes In Time (Cello Version),https://open.spotify.com/album/2sELlm2BckpPszTqN2H4BY,Harmony Night,https://open.spotify.com/artist/6K8fbHqOwXN8ceY71ipjdY,2022-02-17,63892,2022-10-03,Beautiful instrumental music to keep you in the flow as you code or study. An ideal playlist for programming during stressful times --- | program | programmer | software | software engineer | computer science | concentrate | concentration | focusing |,CODING FOCUS
Afternoon Solace Arr. For Cello,https://open.spotify.com/track/52AbiUdhORKfAEgyhp1ZO0,Afternoon Solace,https://open.spotify.com/album/1LjSV89WsvTWwoaHg2Jfm9,Dream Presence,https://open.spotify.com/artist/77u8JcLgTOc0ebVwQZ3A26,2023-04-19,61058,2022-10-03,Beautiful instrumental music to keep you in the flow as you code or study. An ideal playlist for programming during stressful times --- | program | programmer | software | software engineer | computer science | concentrate | concentration | focusing |,CODING FOCUS
Afternoon Solace Arr. For Strings,https://open.spotify.com/track/0N2mUhRH1a5FL64Rzi4k0J,Afternoon Solace,https://open.spotify.com/album/1LjSV89WsvTWwoaHg2Jfm9,Dream Presence,https://open.spotify.com/artist/77u8JcLgTOc0ebVwQZ3A26,2024-02-09,61328,2022-10-03,Beautiful instrumental music to keep you in the flow as you code or study. An ideal playlist for programming during stressful times --- | program | programmer | software | software engineer | computer science | concentrate | concentration | focusing |,CODING FOCUS
Afterthoughts,https://open.spotify.com/track/2q2QEMcPDlDb4JXDika5vD,Stillness,https://open.spotify.com/album/7eegP3dh7y7zGSuvwCOTFv,Melody Lake,https://open.spotify.com/artist/1we36odvLMnv4ESemMwWs7,2024-01-29,84166,2022-10-03,Beautiful instrumental music to keep you in the flow as you code or study. An ideal playlist for programming during stressful times --- | program | programmer | software | software engineer | computer science | concentrate | concentration | focusing |,CODING FOCUS
Aglow,https://open.spotify.com/track/0n31YAaOoiOa8lo6xImfdo,Aglow,https://open.spotify.com/album/4hS1V2rVizn8C0wltSGPZn,Ian Wong,https://open.spotify.com/artist/7oYdrlz2ZllyvCmCZ4c0MK,2022-01-12,141651,2022-10-03,Beautiful instrumental music to keep you in the flow as you code or study. An ideal playlist for programming during stressful times --- | program | programmer | software | software engineer | computer science | concentrate | concentration | focusing |,CODING FOCUS
Air,https://open.spotify.com/track/2y7pV9xnmqZKdbdHK7RiWK,Lost in Dreams,https://open.spotify.com/album/1KSrjyIcjFmL5JQO8yousZ,Slow Rising Hope,https://open.spotify.com/artist/6PG2xcOoZhLtbLAINQdys6,2022-01-20,100636,2022-10-03,Beautiful instrumental music to keep you in the flow as you code or study. An ideal playlist for programming during stressful times --- | program | programmer | software | software engineer | computer science | concentrate | concentration | focusing |,CODING FOCUS
Alive,https://open.spotify.com/track/40guzgl8QTYXZoTjX2Syfl,Alive,https://open.spotify.com/album/10ewSuqBNrSXnf8txoelQu,Moonlight Echoes,https://open.spotify.com/artist/5eXoCTlZLghzUNQB3xTAuC,2022-01-12,129050,2022-10-03,Beautiful instrumental music to keep you in the flow as you code or study. An ideal playlist for programming during stressful times --- | program | programmer | software | software engineer | computer science | concentrate | concentration | focusing |,CODING FOCUS
Alive - Soft Piano Version,https://open.spotify.com/track/3ZkAivMUUjo6xAzRaQ590O,Alive (Soft Piano Version),https://open.spotify.com/album/24t1qK9Nd6iGH2RehDYZhL,Moonlight Echoes,https://open.spotify.com/artist/5eXoCTlZLghzUNQB3xTAuC,2022-03-11,65599,2022-10-03,Beautiful instrumental music to keep you in the flow as you code or study. An ideal playlist for programming during stressful times --- | program | programmer | software | software engineer | computer science | concentrate | concentration | focusing |,CODING FOCUS
Alive Now - Cello Version,https://open.spotify.com/track/5xWqDXyueaSPVVt2y1aXEc,Alive Now,https://open.spotify.com/album/3cYpuvlXVzNkndefm1h4z3,Eternal Spring,https://open.spotify.com/artist/6yDo1kCCuaAyfUy37qTiih,2024-02-09,69730,2022-10-03,Beautiful instrumental music to keep you in the flow as you code or study. An ideal playlist for programming during stressful times --- | program | programmer | software | software engineer | computer science | concentrate | concentration | focusing |,CODING FOCUS
Alive Reimagined,https://open.spotify.com/track/3EB1qJl1fBvyNCINwJbi8T,Alive Reimagined,https://open.spotify.com/album/5tMcQfAzQCILBbfaDBHGrk,Moonlight Echoes,https://open.spotify.com/artist/5eXoCTlZLghzUNQB3xTAuC,2023-09-28,68723,2022-10-03,Beautiful instrumental music to keep you in the flow as you code or study. An ideal playlist for programming during stressful times --- | program | programmer | software | software engineer | computer science | concentrate | concentration | focusing |,CODING FOCUS
Alive With You,https://open.spotify.com/track/1nF9statvmu9UR0hus7s9T,"Dream Space, Vol. 2",https://open.spotify.com/album/4GxaVQ8iCn6g6WeVmFKSWn,Eternal Spring,https://open.spotify.com/artist/6yDo1kCCuaAyfUy37qTiih,2022-02-04,64583,2022-10-03,Beautiful instrumental music to keep you in the flow as you code or study. An ideal playlist for programming during stressful times --- | program | programmer | software | software engineer | computer science | concentrate | concentration | focusing |,CODING FOCUS
All My Heart This Night Rejoices - Cello Version,https://open.spotify.com/track/242Ctyoh13EiJYiOtn6eqG,All My Heart This Night Rejoices (Cello Version),https://open.spotify.com/album/3fiz8fyDPS96uMLqF2AZ6r,Harmony Night,https://open.spotify.com/artist/6K8fbHqOwXN8ceY71ipjdY,2024-02-09,61263,2022-10-03,Beautiful instrumental music to keep you in the flow as you code or study. An ideal playlist for programming during stressful times --- | program | programmer | software | software engineer | computer science | concentrate | concentration | focusing |,CODING FOCUS
All of the Lights,https://open.spotify.com/track/1OWSPpAAN7MI7eybYqIg7R,Reflections,https://open.spotify.com/album/5Eh7lUr6T3rJo5C8naqOC2,Harmony Night,https://open.spotify.com/artist/6K8fbHqOwXN8ceY71ipjdY,2022-01-12,88000,2022-10-03,Beautiful instrumental music to keep you in the flow as you code or study. An ideal playlist for programming during stressful times --- | program | programmer | software | software engineer | computer science | concentrate | concentration | focusing |,CODING FOCUS
All Through The Night Arr. For Cello,https://open.spotify.com/track/1vdsllP7jmS1x9jnGbrUtR,All Through The Night Arr. For Cello,https://open.spotify.com/album/6oOMwGGdvP0vDiJbr1tLP1,Cello Soul,https://open.spotify.com/artist/1g2vVGycdY9Xowsh2mYCqe,2024-02-09,60405,2022-10-03,Beautiful instrumental music to keep you in the flow as you code or study. An ideal playlist for programming during stressful times --- | program | programmer | software | software engineer | computer science | concentrate | concentration | focusing |,CODING FOCUS
All Through The Night Arr. For Cello And Piano,https://open.spotify.com/track/3zaVTB2OkDjYDGJCuYZxPP,All Through The Night Arr. For Cello And Piano,https://open.spotify.com/album/77Yn2DZcFwi8fu9khfNOG4,Ivory Light,https://open.spotify.com/artist/3hSDOhq2hmStY6xAOHxvmi,2024-02-09,65725,2022-10-03,Beautiful instrumental music to keep you in the flow as you code or study. An ideal playlist for programming during stressful times --- | program | programmer | software | software engineer | computer science | concentrate | concentration | focusing |,CODING FOCUS
Allowances,https://open.spotify.com/track/0OBNNrJ8gr7O4Q6LLJO6G2,Sunrise,https://open.spotify.com/album/4KWQdvYkfCatSafb1o5vCR,Open Blue Sky,https://open.spotify.com/artist/0G1U8wfQEhTYRtBPel0hlC,2024-01-29,109390,2022-10-03,Beautiful instrumental music to keep you in the flow as you code or study. An ideal playlist for programming during stressful times --- | program | programmer | software | software engineer | computer science | concentrate | concentration | focusing |,CODING FOCUS
Almost Adrift,https://open.spotify.com/track/030mWo3Y2xRYOTVViMJGe0,Almost Adrift,https://open.spotify.com/album/5r70cuLGoEq5DRGdRWf2Di,Dream Presence,https://open.spotify.com/artist/77u8JcLgTOc0ebVwQZ3A26,2024-02-09,60664,2022-10-03,Beautiful instrumental music to keep you in the flow as you code or study. An ideal playlist for programming during stressful times --- | program | programmer | software | software engineer | computer science | concentrate | concentration | focusing |,CODING FOCUS
Almost Adrift - Cello Version,https://open.spotify.com/track/156Ac6QEV4eyvJAIIPxze5,Almost Adrift,https://open.spotify.com/album/6GhEzpaJ1dvZKxca73yv7q,Willow Valley,https://open.spotify.com/artist/28WCFFMetDFIT9o2Xluc31,2024-02-09,62581,2022-10-03,Beautiful instrumental music to keep you in the flow as you code or study. An ideal playlist for programming during stressful times --- | program | programmer | software | software engineer | computer science | concentrate | concentration | focusing |,CODING FOCUS
